Swallow-tail gull,F,Fidela,18
"Catfish, blue",M,Cornelius,7
Least chipmunk,M,Papageno,3
Lesser double-collared sunbird,M,Paten,16
"Tortoise, desert",M,Neddie,8
"Dove, emerald-spotted wood",F,Olivette,6
Tarantula,F,Ardis,19
Red sheep,F,Felecia,15
"Shelduck, common",M,Zerk,13
Urial,F,Ilse,23
Glossy ibis,M,Thom,17
Tammar wallaby,M,Zaccaria,19
Monitor lizard (unidentified),F,Eddi,1
Galapagos sea lion,F,Charin,22
"Bustard, denham's",M,Krispin,13
"Bushbaby, large-eared",M,Sigvard,5
South African hedgehog,F,Marlee,7
"Skunk, western spotted",F,Idalia,3
Canada goose,F,Adelina,1
Indian jackal,F,Lorianna,23
"Sungazer, yellow-brown",F,Bendite,6
"Fox, cape",F,Jan,3
"Lizard, mexican beaded",M,Justino,13
Tammar wallaby,M,Shermie,4
"Shrike, common boubou",M,Lauren,8
African clawless otter,M,Gawain,3
"Cockatoo, long-billed",M,Aldous,4
"Whale, baleen",M,Benedict,8
"Flicker, campo",F,Tiphanie,11
Burrowing owl,M,Yul,1
Woolly-necked stork,M,Davidde,13
"Sloth, hoffman's",M,Erhard,3
"Dragonfly, russian",M,Denis,8
Greater sage grouse,M,Chico,14
Field flicker,M,Allistir,18
"Otter, african clawless",F,Christyna,20
"Boa, emerald green tree",F,Codee,3
"Bulbul, black-eyed",F,Carissa,16
Black-tailed deer,M,Ephraim,7
Little brown bat,M,Cordie,21
Greater sage grouse,F,Zia,23
"Sungazer, yellow-brown",F,Ardine,3
"Cormorant, great",M,Bern,15
"Lizard, goanna",M,Eberto,1
Black-necked stork,F,Vinita,6
"Lizard, giant girdled",M,Herbie,15
Common palm civet,M,Godfrey,12
"Capuchin, brown",F,Rosanna,4
Small Indian mongoose,F,Rafaelita,4
Caracara (unidentified),M,Aluino,15
"Dog, black-tailed prairie",M,Cedric,3
Blackbuck,F,Vonny,15
"Rattlesnake, horned",M,Brant,4
"Stork, painted",F,Darleen,5
Gecko (unidentified),F,Pauletta,2
Caracal,M,Fonz,7
Grey lourie,F,Cally,21
Green-backed heron,M,Levy,9
Chacma baboon,F,Minnnie,11
Two-toed sloth,F,Melitta,2
"Squirrel, grey-footed",F,Paulette,21
Common nighthawk,F,Jordana,10
"Toucan, red-billed",M,Marcel,17
"Boa, cook's tree",F,Tammara,16
Malachite kingfisher,F,Madlin,23
Blue catfish,M,Jean,9
"Squirrel, eastern fox",F,Antonie,12
Lizard (unidentified),F,Hermia,1
"Screamer, crested",M,Jed,7
"Magpie, black-backed",M,Jude,13
"Duiker, common",M,Gardiner,4
"Mongoose, small indian",F,Damara,21
"Cockatoo, roseate",M,Derrek,3
Sloth bear,F,Babita,13
"Flicker, campo",M,Curt,13
"Crow, american",M,Derrek,11
Civet cat,M,Geoffry,23
Blue catfish,F,Tami,20
"Weaver, white-browed sparrow",F,Maia,10
Lizard (unidentified),M,Traver,9
"Capuchin, weeper",F,Jeralee,19
Suricate,F,Saloma,8
"Moccasin, water",M,Salomo,1
"Bat, little brown",F,Cyndie,10
Curve-billed thrasher,F,Terra,9
Euro wallaby,F,Kaylil,2
African red-eyed bulbul,M,Derick,6
"Iguana, marine",F,Harmony,16
"Squirrel, grey-footed",F,Frederique,4
Secretary bird,F,Marcellina,4
"Falcon, peregrine",M,Kelbee,23
"Cormorant, javanese",M,Weider,19
Dingo,M,Eliot,19
Green heron,F,Adan,16
"Ass, asiatic wild",F,Hailee,23
Jungle kangaroo,F,Lotty,10
"Deer, red",M,Cecilius,13
Lesser masked weaver,F,Jorrie,4
Western palm tanager (unidentified),M,Fraze,23
Amazon parrot (unidentified),F,Ronna,10
Ring-necked pheasant,F,Melly,13
"Cat, african wild",F,Tani,15
Tiger,M,Sandro,8
"Mockingbird, galapagos",F,Brana,16
"Bear, polar",F,Goldie,9
"Beaver, eurasian",F,Henriette,9
"Possum, common brushtail",M,Tracey,21
"Bandicoot, southern brown",F,Sianna,12
Manatee,M,Will,8
"Bear, grizzly",M,Dick,8
"Squirrel, eastern fox",M,Kaine,7
"Lizard, desert spiny",F,Billye,11
Brush-tailed bettong,F,Tove,10
Greater blue-eared starling,F,Dianna,7
"Porcupine, north american",M,Rickie,13
Asiatic wild ass,M,Bryn,22
"Cardinal, black-throated",M,Tomlin,15
Sally lightfoot crab,F,Avivah,3
"Macaque, bonnet",M,Borg,16
"Fox, cape",M,Ted,23
Hoffman's sloth,M,Rockey,15
Three-banded plover,M,Maddie,8
Red-knobbed coot,M,Herbert,7
African lynx,F,Mariel,21
"Squirrel, antelope ground",M,Hodge,14
"Squirrel, uinta ground",M,Tonnie,19
"Boa, columbian rainbow",M,Man,12
Cape wild cat,M,Eb,19
Cougar,F,Kaleena,3
"Pintail, bahama",M,Kermie,18
Western grey kangaroo,M,Fitz,15
Blue and yellow macaw,M,Prentiss,11
Agouti,F,Corine,22
"Lizard, goanna",M,Trefor,6
Crab-eating raccoon,M,Rolland,9
"Gull, lava",M,Abel,6
"Zebra, common",F,Therese,3
"Bustard, denham's",F,Brittni,5
Sandhill crane,F,Camellia,14
"Squirrel, thirteen-lined",M,Arney,17
"Skunk, striped",M,Arnold,12
